date,city,emd,code,money,market,readPop,workPop,visitPop
20170100,제주시,이도일동,G47216,24390290,233,8254,1741,10289
20170100,제주시,이도일동,N75992,294650,180,8254,1741,10289
20170100,제주시,이도일동,I56114,16228800,905,8254,1741,10289
20170100,제주시,이도일동,I56113,25222000,293,8254,1741,10289
20170100,제주시,이도일동,I56211,209312000,632,8254,1741,10289
20170100,제주시,이도일동,I56192,4570060,231,8254,1741,10289
20170100,제주시,이도일동,I56219,67646000,509,8254,1741,10289
20170100,제주시,이도일동,I56119,7084600,148,8254,1741,10289
20170100,제주시,이도일동,G47122,71657660,738,8254,1741,10289
20170100,제주시,이도일동,G47121,163020660,490,8254,1741,10289
20170100,제주시,이도일동,G47212,33736000,342,8254,1741,10289
20170100,제주시,이도일동,G47129,826600,103,8254,1741,10289
20170100,제주시,이도이동,I55112,32986450,1610,68857,8454,34714
20170100,제주시,이도이동,G47842,1489600,198,68857,8454,34714
20170100,제주시,이도이동,G47813,149286060,1091,68857,8454,34714
20170100,제주시,이도이동,I56112,45351500,234,68857,8454,34714
20170100,제주시,이도이동,I56111,2045665065,6259,68857,8454,34714
20170100,제주시,이도이동,G47215,108047560,392,68857,8454,34714
20170100,제주시,이도이동,G47214,97379975,888,68857,8454,34714
20170100,제주시,이도이동,G47213,22409600,563,68857,8454,34714
20170100,제주시,이도이동,G47712,15146710,90,68857,8454,34714
20170100,제주시,이도이동,G47711,361506317,214,68857,8454,34714
20170100,제주시,이도이동,L69210,98785010,597,68857,8454,34714
20170100,제주시,이도이동,G47190,5470000,109,68857,8454,34714
20170100,제주시,이도이동,I56220,115440164,397,68857,8454,34714
20170100,제주시,이도이동,S96121,7634050,59,68857,8454,34714
20170100,제주시,이도이동,R91139,850000,28,68857,8454,34714
20170100,제주시,이도이동,S96122,1110000,34,68857,8454,34714
20170100,제주시,이도이동,L69110,18914300,135,68857,8454,34714
20170100,제주시,이도이동,G47216,19688800,233,68857,8454,34714
20170100,제주시,이도이동,N75992,1246000,180,68857,8454,34714
20170100,제주시,이도이동,N75211,16918363,621,68857,8454,34714
20170100,제주시,이도이동,I56114,189371110,905,68857,8454,34714
20170100,제주시,이도이동,I56113,166587950,293,68857,8454,34714
20170100,제주시,이도이동,I56211,258288166,632,68857,8454,34714
20170100,제주시,이도이동,I56192,182643544,231,68857,8454,34714
20170100,제주시,이도이동,I56219,175895000,509,68857,8454,34714
20170100,제주시,이도이동,I56119,34451600,148,68857,8454,34714
20170100,제주시,이도이동,G47122,360483740,738,68857,8454,34714
20170100,제주시,이도이동,G47121,378999272,490,68857,8454,34714
20170100,제주시,이도이동,G47212,109481240,342,68857,8454,34714
20170100,제주시,이도이동,G47129,363800,103,68857,8454,34714
20170100,제주시,삼도일동,I55112,34902897,1610,11512,920,8760
20170100,제주시,삼도일동,I56111,235439750,6259,11512,920,8760
20170100,제주시,삼도일동,G47842,5370000,198,11512,920,8760
20170100,제주시,삼도일동,G47813,17925000,1091,11512,920,8760
20170100,제주시,삼도일동,I55111,38421754,71,11512,920,8760
20170100,제주시,삼도일동,I56112,14463500,234,11512,920,8760
20170100,제주시,삼도일동,I56113,37595000,293,11512,920,8760
20170100,제주시,삼도일동,G47215,28954590,392,11512,920,8760
20170100,제주시,삼도일동,G47214,26700100,888,11512,920,8760
20170100,제주시,삼도일동,G47711,48298791,214,11512,920,8760
20170100,제주시,삼도일동,L69210,44847800,597,11512,920,8760
20170100,제주시,삼도일동,G47190,14230000,109,11512,920,8760
20170100,제주시,삼도일동,I56220,1803700,397,11512,920,8760
20170100,제주시,삼도일동,S96121,16170400,59,11512,920,8760
20170100,제주시,삼도일동,G47216,23741430,233,11512,920,8760
20170100,제주시,삼도일동,N75992,72000,180,11512,920,8760
20170100,제주시,삼도일동,N75211,260000,621,11512,920,8760
20170100,제주시,삼도일동,I56119,2672000,148,11512,920,8760
20170100,제주시,삼도일동,I56114,7576800,905,11512,920,8760
20170100,제주시,삼도일동,I56211,116834013,632,11512,920,8760
20170100,제주시,삼도일동,I56192,3570100,231,11512,920,8760
20170100,제주시,삼도일동,I56219,123038000,509,11512,920,8760
20170100,제주시,삼도일동,G47122,82218550,738,11512,920,8760
20170100,제주시,삼도일동,G47121,513403800,490,11512,920,8760
20170100,제주시,삼도일동,G47212,93624700,342,11512,920,8760
20170100,제주시,삼도일동,G47213,9095000,563,11512,920,8760
20170100,제주시,삼도일동,G47129,1921400,103,11512,920,8760
20170100,제주시,삼도이동,I55112,22462603,1610,5121,759,6938
20170100,제주시,삼도이동,I56111,433849330,6259,5121,759,6938
20170100,제주시,삼도이동,G47842,2838600,198,5121,759,6938
20170100,제주시,삼도이동,G47813,8735000,1091,5121,759,6938
20170100,제주시,삼도이동,I55111,351565144,71,5121,759,6938
20170100,제주시,삼도이동,I56112,15480000,234,5121,759,6938
20170100,제주시,삼도이동,I56113,4570000,293,5121,759,6938
20170100,제주시,삼도이동,G47215,14313540,392,5121,759,6938
20170100,제주시,삼도이동,G47214,4648000,888,5121,759,6938
20170100,제주시,삼도이동,L69210,30085300,597,5121,759,6938
20170100,제주시,삼도이동,G47190,9197200,109,5121,759,6938
20170100,제주시,삼도이동,G47119,1617548520,15,5121,759,6938
20170100,제주시,삼도이동,I56220,846000,397,5121,759,6938
20170100,제주시,삼도이동,S96121,3149000,59,5121,759,6938
20170100,제주시,삼도이동,R91139,458000,28,5121,759,6938
20170100,제주시,삼도이동,G47216,4045800,233,5121,759,6938
20170100,제주시,삼도이동,N75211,291600,621,5121,759,6938
20170100,제주시,삼도이동,I56119,8479000,148,5121,759,6938
20170100,제주시,삼도이동,I56114,21978430,905,5121,759,6938
20170100,제주시,삼도이동,I56211,46324000,632,5121,759,6938
20170100,제주시,삼도이동,I56192,6007860,231,5121,759,6938
20170100,제주시,삼도이동,I56219,49910000,509,5121,759,6938
20170100,제주시,삼도이동,G47122,113579950,738,5121,759,6938
20170100,제주시,삼도이동,G47121,18336920,490,5121,759,6938
20170100,제주시,삼도이동,G47212,14048880,342,5121,759,6938
20170100,제주시,삼도이동,G47213,4997000,563,5121,759,6938
20170100,제주시,삼도이동,G47129,74500,103,5121,759,6938
20170100,제주시,용담일동,I55112,6619500,1610,8350,657,6177
20170100,제주시,용담일동,G47842,160000,198,8350,657,6177
20170100,제주시,용담일동,G47813,388000,1091,8350,657,6177
20170100,제주시,용담일동,I55111,8751400,71,8350,657,6177
20170100,제주시,용담일동,I56112,8242650,234,8350,657,6177
20170100,제주시,용담일동,I56111,222898736,6259,8350,657,6177
20170100,제주시,용담일동,G47215,18070000,392,8350,657,6177
20170100,제주시,용담일동,G47214,75970550,888,8350,657,6177
20170100,제주시,용담일동,G47213,13155400,563,8350,657,6177
20170100,제주시,용담일동,G47712,30840892,90,8350,657,6177
20170100,제주시,용담일동,G47711,118941864,214,8350,657,6177
20170100,제주시,용담일동,L69210,4412000,597,8350,657,6177
20170100,제주시,용담일동,G47190,300000,109,8350,657,6177
20170100,제주시,용담일동,I56220,218000,397,8350,657,6177
20170100,제주시,용담일동,L69110,8051980,135,8350,657,6177
20170100,제주시,용담일동,N75211,1863000,621,8350,657,6177
20170100,제주시,용담일동,I56114,4061100,905,8350,657,6177
20170100,제주시,용담일동,I56113,24568000,293,8350,657,6177
20170100,제주시,용담일동,I56211,50240000,632,8350,657,6177
20170100,제주시,용담일동,I56219,47241019,509,8350,657,6177
20170100,제주시,용담일동,I56119,2899000,148,8350,657,6177
20170100,제주시,용담일동,G47122,39574520,738,8350,657,6177
20170100,제주시,용담일동,G47121,25297320,490,8350,657,6177
20170100,제주시,용담일동,G47212,154786500,342,8350,657,6177
20170100,제주시,용담일동,G47129,198000,103,8350,657,6177
20170100,제주시,용담이동,I55112,2707550,1610,13256,2675,14187
20170100,제주시,용담이동,G47842,204142000,198,13256,2675,14187
20170100,제주시,용담이동,G47813,8482000,1091,13256,2675,14187
